x,y
0,5.175
1,9.076
2,13.011
3,17.484
4,20.892
5,25.475
6,28.866
7,33.437
8,36.959
9,40.954
10,45.449
11,48.567
12,52.852
13,56.561
14,61.493
15,65.221
16,69.07
17,73.065
18,76.996
19,81.077
20,84.869
21,89.408
22,92.763
23,96.915
24,101.343
25,105.079
26,109.071
27,113.104
28,117.192
29,120.709
30,124.58
31,128.554
32,132.51
33,136.566
34,141.222
35,145.035
36,149.078
37,152.834
38,156.844
39,161.153
40,164.548
41,168.653
42,172.589
43,176.826
44,181.052
45,184.88
46,188.528
47,193.226
48,196.955
49,201.308
50,204.79
51,208.853
52,212.999
53,216.843
54,220.585
55,225.186
56,228.757
57,233.022
58,237.204
59,241.191
60,244.863
61,248.618
62,253.03
63,257.445
64,261.103
65,264.821
66,269.488
67,273.256
68,277.154
69,280.752
70,284.669
71,288.947
72,293.371
73,297.348
74,300.717
75,304.825
76,308.545
77,313.263
78,317.34
79,320.868
80,325.032
81,329.107
82,332.731
83,337.29
84,340.729
85,344.679
86,349.043
87,352.828
88,356.791
89,361.434
90,365.171
91,369.249
92,373.018
93,376.739
94,380.963
95,385.26
96,388.697
97,392.919
98,397.36
99,401.152
