x1,x2,x3,y
0,30,-20,39.0652
1,31,-19,49.1068
2,32,-18,59.5449
3,33,-17,69.3371
4,34,-16,80.2832
5,35,-15,90.8302
6,36,-14,99.4237
7,37,-13,109.2283
8,38,-12,120.2518
9,39,-11,129.7046
10,40,-10,139.1949
11,41,-9,149.3262
12,42,-8,160.0776
13,43,-7,170.1411
14,44,-6,179.3349
15,45,-5,189.0951
16,46,-4,199.8901
17,47,-3,210.694
18,48,-2,219.3773
19,49,-1,229.5598
20,50,0,239.8121
21,51,1,249.5266
22,52,2,260.3977
23,53,3,269.9905
24,54,4,279.6107
25,55,5,289.6187
26,56,6,299.348
27,57,7,310.3946
28,58,8,319.8698
29,59,9,329.9239
30,60,10,340.8836
31,61,11,349.2022
32,62,12,360.8765
33,63,13,370.492
34,64,14,380.3848
35,65,15,389.8508
36,66,16,399.176
37,67,17,409.9925
38,68,18,419.6043
39,69,19,429.6122
40,70,20,440.5926
41,71,21,450.9538
42,72,22,459.1152
43,73,23,470.5678
44,74,24,480.8963
45,75,25,489.9587
46,76,26,499.8754
47,77,27,509.6946
48,78,28,519.086
49,79,29,529.5506
50,80,30,539.3448
51,81,31,549.5383
52,82,32,560.2309
53,83,33,570.6271
54,84,34,580.8742
55,85,35,589.2465
56,86,36,600.6933
57,87,37,609.2973
58,88,38,619.5437
59,89,39,629.638
60,90,40,639.0736
61,91,41,650.9029
62,92,42,659.9049
63,93,43,670.3897
64,94,44,680.3315
65,95,45,690.9197
66,96,46,699.2789
67,97,47,709.2127
68,98,48,719.4087
69,99,49,729.3534
70,100,50,740.5775
71,101,51,749.5755
72,102,52,759.8564
73,103,53,769.3519
74,104,54,780.7252
75,105,55,789.8085
76,106,56,800.2602
77,107,57,810.4218
78,108,58,819.0463
79,109,59,829.1413
80,110,60,839.9898
81,111,61,849.5695
82,112,62,859.4454
83,113,63,869.4955
84,114,64,880.1349
85,115,65,889.4229
86,116,66,899.4457
87,117,67,910.3042
88,118,68,920.1881
89,119,69,930.7054
90,120,70,939.3666
91,121,71,950.9197
92,122,72,960.2462
93,123,73,969.1647
94,124,74,980.2664
95,125,75,990.9338
96,126,76,999.0246
97,127,77,1010.794
98,128,78,1020.0728
99,129,79,1029.3783
